"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU8496" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9509" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU26429" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU6905" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU15688" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU14650" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU25848" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9488" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU20461" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9193" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU17230" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4215" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU13477" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9848" "k:Bacteria" "p:Planctomycetes" "c:vadinHA49" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
