SAMPLE ID,Label_ID,Trt,Rain Trt,Disp Trt,Soil,MB TN ug_g_dry,MB POC ug_g_dry
1,CRA1,trt,ambient,nonsterile,clay,8.765575153,47.05465056
2,CRA2,trt,ambient,nonsterile,clay,39.6153963,76.45881588
3,CRA3,trt,ambient,nonsterile,clay,24.50598664,129.1485034
4,CRA4,trt,ambient,nonsterile,clay,15.25072074,36.04712645
5,CRA5,trt,ambient,nonsterile,clay,23.77248183,118.0448677
6,CRA6,trt,ambient,nonsterile,clay,20.12397695,68.3957131
7,CRA7,trt,ambient,nonsterile,clay,10.80563597,51.38641156
8,CRA8,trt,ambient,nonsterile,clay,34.07562051,221.5633807
9,SRA1,trt,ambient,nonsterile,sand,18.41923795,57.95164485
10,SRA2,trt,ambient,nonsterile,sand,16.38650753,43.93607413
11,SRA3,trt,ambient,nonsterile,sand,0,
12,SRA4,trt,ambient,nonsterile,sand,9.38848912,46.93976889
13,SRA5,trt,ambient,nonsterile,sand,6.509342679,61.29596815
14,SRA6,trt,ambient,nonsterile,sand,22.79456782,83.51320205
15,SRA7,trt,ambient,nonsterile,sand,21.29826262,52.09380491
16,SRA8,trt,ambient,nonsterile,sand,26.24141054,121.5387039
17,CRR1,trt,reduced,nonsterile,clay,15.81876353,99.85680434
18,CRR2,trt,reduced,nonsterile,clay,14.03823249,50.75919658
19,CRR3,trt,reduced,nonsterile,clay,32.41490548,182.259504
20,CRR4,trt,reduced,nonsterile,clay,7.656012004,8.262813947
21,CRR5,trt,reduced,nonsterile,clay,10.13175028,19.4241212
22,CRR6,trt,reduced,nonsterile,clay,21.59861637,71.92506484
23,CRR7,trt,reduced,nonsterile,clay,20.45453765,58.51139539
24,CRR8,trt,reduced,nonsterile,clay,9.608532377,45.98613365
25,SRR1,trt,reduced,nonsterile,sand,25.8538778,
26,SRR2,trt,reduced,nonsterile,sand,45.40481397,32.61144748
27,SRR3,trt,reduced,nonsterile,sand,10.29794597,20.8197836
28,SRR4,trt,reduced,nonsterile,sand,22.71669378,60.81770528
29,SRR5,trt,reduced,nonsterile,sand,14.18579269,153.9812595
30,SRR6,trt,reduced,nonsterile,sand,28.89975872,98.52760567
31,SRR7,trt,reduced,nonsterile,sand,28.21610362,133.0279148
32,SRR8,trt,reduced,nonsterile,sand,9.729339611,30.96458633
33,CSA1,trt,ambient,sterile ,clay,17.77755371,0
34,CSA2,trt,ambient,sterile ,clay,5.762873662,32.56383801
35,CSA3,trt,ambient,sterile ,clay,10.40442463,22.04503312
36,CSA4,trt,ambient,sterile ,clay,15.51593913,54.93219292
37,CSA5,trt,ambient,sterile ,clay,20.68100653,61.80289161
38,CSA6,trt,ambient,sterile ,clay,33.50802122,82.20331584
39,CSA7,trt,ambient,sterile ,clay,15.5867609,35.38886427
40,CSA8,trt,ambient,sterile ,clay,36.58568717,102.7980859
41,SSA1,trt,ambient,sterile ,sand,32.70115429,115.1175803
42,SSA2,trt,ambient,sterile ,sand,23.43199546,81.89685551
43,SSA3,trt,ambient,sterile ,sand,25.42691696,82.58568935
44,SSA4,trt,ambient,sterile ,sand,29.78525872,89.17761697
45,SSA5,trt,ambient,sterile ,sand,5.637840046,25.75336331
46,SSA6,trt,ambient,sterile ,sand,27.35519516,6.826764717
47,SSA7,trt,ambient,sterile ,sand,36.59486521,95.04968796
48,SSA8,trt,ambient,sterile ,sand,38.26928058,150.3512256
49,CSR1,trt,reduced,sterile ,clay,4.963034371,0
50,CSR2,trt,reduced,sterile ,clay,6.927972281,15.79551125
51,CSR3,trt,reduced,sterile ,clay,0,3.09856457
52,CSR4,trt,reduced,sterile ,clay,0,0
53,CSR5,trt,reduced,sterile ,clay,29.03456594,60.94715001
54,CSR6,trt,reduced,sterile ,clay,7.06563351,
55,CSR7,trt,reduced,sterile ,clay,10.0020724,36.33921537
56,CSR8,trt,reduced,sterile ,clay,30.33054232,0
57,SSR1,trt,reduced,sterile ,sand,10.89399512,42.38244096
58,SSR2,trt,reduced,sterile ,sand,5.239482468,15.54906379
59,SSR3,trt,reduced,sterile ,sand,4.305622376,28.5291265
60,SSR4,trt,reduced,sterile ,sand,0.668639731,12.24628549
61,SSR5,trt,reduced,sterile ,sand,0,0.723422822
62,SSR6,trt,reduced,sterile ,sand,-0.374613297,17.58535258
63,SSR7,trt,reduced,sterile ,sand,32.24168972,163.7751837
64,SSR8,trt,reduced,sterile ,sand,35.06449417,116.0165506
65,CRA1_stl,stl,ambient,nonsterile,clay,8.825439758,163.4301928
66,CRA2_stl ,stl,ambient,nonsterile,clay,11.04261614,29.23110411
67,CRA3_stl,stl,ambient,nonsterile,clay,16.49308184,137.1493852
68,SRA1_stl,stl,ambient,nonsterile,sand,0,0
69,SRA2_stl,stl,ambient,nonsterile,sand,5.656746053,47.99028811
70,SRA3_stl ,stl,ambient,nonsterile,sand,7.123730231,41.4525809
71,CSA1_stl,stl,ambient,sterile ,clay,0,
72,CSA2_stl,stl,ambient,sterile ,clay,3.112006022,16.05729967
73,CSA3_stl,stl,ambient,sterile ,clay,0,0
74,SSA1_stl,stl,ambient,sterile ,sand,0,0
75,SSA2_stl,stl,ambient,sterile ,sand,6.486940088,14.26585515
76,SSA3_stl,stl,ambient,sterile ,sand,0,0
77,clay1_t0,t0,ambient,t0,clay,33.24775229,76.3458107
78,clay2_t0,t0,ambient,t0,clay,20.15435361,31.52034888
79,clay3_t0,t0,ambient,t0,clay,0,0
80,sandy1_t0,t0,ambient,t0,sand,18.24941199,75.07607703
81,sandy2_t0,t0,ambient,t0,sand,16.93223655,53.1058701
82,sandy3_t0,t0,ambient,t0,sand,22.68964217,41.02559917
,,control,,,,,
