Sample,Label ID,Rain Trt,Disp Trt,Soil,CarbonSource,Final,
1,CRA1,ambient,Nonsterile,clay,water,0,
1,CRA1,ambient,Nonsterile,clay,pyruvic acid methyl ester,0.349633252,
1,CRA1,ambient,Nonsterile,clay,Tween 40,0.041878173,
1,CRA1,ambient,Nonsterile,clay,Twen 80,0.005306604,
1,CRA1,ambient,Nonsterile,clay,alpha-cyclodextrin,0.00477327,
1,CRA1,ambient,Nonsterile,clay,glycogen,0.015892421,
1,CRA1,ambient,Nonsterile,clay,D-Cellobiose,0.00059312,
1,CRA1,ambient,Nonsterile,clay,alpha-D-Lactose,0.003854626,
1,CRA1,ambient,Nonsterile,clay,Beta-Methyl-D-Glucoside,0,
1,CRA1,ambient,Nonsterile,clay,D-xylose,0.231568017,
1,CRA1,ambient,Nonsterile,clay,i-Erythritol,0.030750308,
1,CRA1,ambient,Nonsterile,clay,D-Mannitol,0.002795899,
1,CRA1,ambient,Nonsterile,clay,N-Acetyl-D-Glucosamine,0.42124105,
1,CRA1,ambient,Nonsterile,clay,D-Glucosaminic Acid,0.002522068,
1,CRA1,ambient,Nonsterile,clay,Glucose-1-Phosphate,0.053333333,
1,CRA1,ambient,Nonsterile,clay,"D,L-alpha-Glycerol-Phosphate",0.129213483,
1,CRA1,ambient,Nonsterile,clay,D-Galactonic Acid gamma-Lactone,0.017615176,
1,CRA1,ambient,Nonsterile,clay,D-Galacturonic Acid ,0.315789474,
1,CRA1,ambient,Nonsterile,clay,2-Hydroxy Benzoic Acid,0.000815661,
1,CRA1,ambient,Nonsterile,clay,4-Hydroxy Benzoic Acid,0,
1,CRA1,ambient,Nonsterile,clay,gamma-Hydroxybutyric Acid,0.013842746,
1,CRA1,ambient,Nonsterile,clay,Itaconic Acid,0.002708559,
1,CRA1,ambient,Nonsterile,clay,alpha-Ketobutyric Acid,0.075091575,
1,CRA1,ambient,Nonsterile,clay,D-malic Acid,0.251903553,
1,CRA1,ambient,Nonsterile,clay,L-Arginine,0,
1,CRA1,ambient,Nonsterile,clay,L-Asparagine,0.011352419,
1,CRA1,ambient,Nonsterile,clay,L-Phenylalanine,0.004555809,
1,CRA1,ambient,Nonsterile,clay,L-Serine,0,
1,CRA1,ambient,Nonsterile,clay,L-Theronine,0.008522727,
1,CRA1,ambient,Nonsterile,clay,Glycyl-L-Glutamic Acid,0.24201788,
1,CRA1,ambient,Nonsterile,clay,Phenylethyl-amine,0.002460025,
1,CRA1,ambient,Nonsterile,clay,Putrescine,0.001210654,
2,CRA2,ambient,Nonsterile,clay,water,0,
2,CRA2,ambient,Nonsterile,clay,pyruvic acid methyl ester,0.705230769,
2,CRA2,ambient,Nonsterile,clay,Tween 40,0.98658147,
2,CRA2,ambient,Nonsterile,clay,Twen 80,0.659940653,
2,CRA2,ambient,Nonsterile,clay,alpha-cyclodextrin,0.003603604,
2,CRA2,ambient,Nonsterile,clay,glycogen,0.011692308,
2,CRA2,ambient,Nonsterile,clay,D-Cellobiose,1.416119403,
2,CRA2,ambient,Nonsterile,clay,alpha-D-Lactose,0.054847645,
2,CRA2,ambient,Nonsterile,clay,Beta-Methyl-D-Glucoside,0,
2,CRA2,ambient,Nonsterile,clay,D-xylose,0.367101828,
2,CRA2,ambient,Nonsterile,clay,i-Erythritol,0.003095975,
2,CRA2,ambient,Nonsterile,clay,D-Mannitol,1.18501171,
2,CRA2,ambient,Nonsterile,clay,N-Acetyl-D-Glucosamine,0.983183183,
2,CRA2,ambient,Nonsterile,clay,D-Glucosaminic Acid,1.145396825,
2,CRA2,ambient,Nonsterile,clay,Glucose-1-Phosphate,0,
2,CRA2,ambient,Nonsterile,clay,"D,L-alpha-Glycerol-Phosphate",0.15942029,
2,CRA2,ambient,Nonsterile,clay,D-Galactonic Acid gamma-Lactone,1.000682594,
2,CRA2,ambient,Nonsterile,clay,D-Galacturonic Acid ,1.126182965,
2,CRA2,ambient,Nonsterile,clay,2-Hydroxy Benzoic Acid,0,
2,CRA2,ambient,Nonsterile,clay,4-Hydroxy Benzoic Acid,0.867267267,
2,CRA2,ambient,Nonsterile,clay,gamma-Hydroxybutyric Acid,0.104178273,
2,CRA2,ambient,Nonsterile,clay,Itaconic Acid,1.037057221,
2,CRA2,ambient,Nonsterile,clay,alpha-Ketobutyric Acid,0,
2,CRA2,ambient,Nonsterile,clay,D-malic Acid,1.051118211,
2,CRA2,ambient,Nonsterile,clay,L-Arginine,1.377718833,
2,CRA2,ambient,Nonsterile,clay,L-Asparagine,1.127047146,
2,CRA2,ambient,Nonsterile,clay,L-Phenylalanine,0.021203438,
2,CRA2,ambient,Nonsterile,clay,L-Serine,0.805089059,
2,CRA2,ambient,Nonsterile,clay,L-Theronine,0.313875598,
2,CRA2,ambient,Nonsterile,clay,Glycyl-L-Glutamic Acid,0.410289389,
2,CRA2,ambient,Nonsterile,clay,Phenylethyl-amine,1.253869969,
2,CRA2,ambient,Nonsterile,clay,Putrescine,1.149693252,
3,CRA3,ambient,Nonsterile,clay,water,0,
3,CRA3,ambient,Nonsterile,clay,pyruvic acid methyl ester,0.252457002,
3,CRA3,ambient,Nonsterile,clay,Tween 40,0.003826531,
3,CRA3,ambient,Nonsterile,clay,Twen 80,0.056872038,
3,CRA3,ambient,Nonsterile,clay,alpha-cyclodextrin,0.522781775,
3,CRA3,ambient,Nonsterile,clay,glycogen,0.012285012,
3,CRA3,ambient,Nonsterile,clay,D-Cellobiose,0.345053635,
3,CRA3,ambient,Nonsterile,clay,alpha-D-Lactose,0,
3,CRA3,ambient,Nonsterile,clay,Beta-Methyl-D-Glucoside,0.007211538,
3,CRA3,ambient,Nonsterile,clay,D-xylose,0.000521376,
3,CRA3,ambient,Nonsterile,clay,i-Erythritol,8.57712E-18,
