"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU18" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU6550" "d:Fungi" "p:Basidiomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU46" "d:Fungi" "p:Basidiomycota" "c:Tremellomycetes" "o:Filobasidiales" "f:Filobasidiaceae" "g:Naganishia" "UNKNOWN"
"OTU70" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "g:Alternaria" "s:Alternaria_terricola_SH434798.07FU"
"OTU5141" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5679" "d:Fungi" "p:Basidiomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU144" "d:Fungi" "p:Ascomycota" "c:Taphrinomycetes" "o:Taphrinales" "f:Taphrinaceae" "g:Taphrina" "UNKNOWN"
"OTU643" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Didymosphaeriaceae" "g:Pseudopithomyces" "UNKNOWN"
"OTU56" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU110" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "g:Curvularia" "UNKNOWN"
"OTU224" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "g:Alternaria" "UNKNOWN"
"OTU40" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU3" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2173" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1504" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU12" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Sordariales" "f:Sordariaceae" "UNKNOWN" "UNKNOWN"
"OTU2" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU23" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU3418" "d:Fungi" "p:Basidiomycota" "c:Tremellomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU6652" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Capnodiales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU386" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "g:Curvularia" "UNKNOWN"
"OTU1201" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Sordariales" "f:Chaetomiaceae" "g:Thielavia" "UNKNOWN"
"OTU389" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "g:Curvularia" "s:Curvularia_trifolii_SH187572.07FU"
"OTU19" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Dothideales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU3864" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU26" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU150" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Periconiaceae" "g:Periconia" "s:Periconia_variicolor_SH204057.07FU"
"OTU304" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU94" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "g:Curvularia" "s:Curvularia_caricae-papayae_SH349835.07FU"
"OTU11" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1328" "d:Fungi" "p:Basidiomycota" "c:Malasseziomycetes" "o:Malasseziales" "f:Malasseziaceae" "g:Malassezia" "UNKNOWN"
"OTU4404" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU6" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Phaeosphaeriaceae" "g:Neostagonospora" "UNKNOWN"
"OTU51" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU6781" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Capnodiales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5426" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU152" "d:Fungi" "p:Basidiomycota" "c:Tremellomycetes" "o:Filobasidiales" "f:Filobasidiaceae" "g:Naganishia" "s:Naganishia_friedmannii_SH206550.07FU"
"OTU95" "d:Fungi" "p:Basidiomycota" "c:Tremellomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU7055" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU185" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU7041" "d:Fungi" "p:Basidiomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1057" "d:Fungi" "p:Basidiomycota" "c:Microbotryomycetes" "o:Sporidiobolales" "f:Sporidiobolaceae" "g:Rhodosporidiobolus" "s:Rhodosporidiobolus_colostri_SH194503.07FU"
"OTU1196" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "f:Thermoascaceae" "g:Byssochlamys" "UNKNOWN"
"OTU4" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Capnodiales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1508" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU141" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU388" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "g:Bipolaris" "UNKNOWN"
"OTU4648" "d:Fungi" "p:Basidiomycota" "c:Tremellomycetes" "o:Filobasidiales" "f:Filobasidiaceae" "g:Filobasidium" "s:Filobasidium_wieringae_SH221435.07FU"
"OTU1731" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU896" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU6229" "d:Fungi" "p:Basidiomycota" "c:Cystobasidiomycetes" "o:Cystobasidiomycetes_ord_Incertae_sedis" "f:Buckleyzymaceae" "g:Buckleyzyma" "s:Buckleyzyma_aurantiaca_SH207116.07FU"
"OTU3591" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU140" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU14" "d:Fungi" "p:Basidiomycota" "c:Tremellomycetes" "o:Cystofilobasidiales" "f:Mrakiaceae" "g:Mrakia" "s:Mrakia_frigida_SH202458.07FU"
"OTU7287" "d:Fungi" "p:Ascomycota" "c:Taphrinomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2737" "d:Fungi" "p:Ascomycota" "c:Leotiomycetes" "o:Helotiales" "f:Hyaloscyphaceae" "UNKNOWN" "UNKNOWN"
"OTU149" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2467" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1921" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Schizophyllaceae" "g:Schizophyllum" "UNKNOWN"
"OTU1820" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU295" "d:Fungi" "p:Ascomycota" "c:Saccharomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU425" "d:Fungi" "p:Basidiomycota" "c:Microbotryomycetes" "o:Sporidiobolales" "f:Sporidiobolaceae" "g:Sporobolomyces" "s:Sporobolomyces_roseus_SH194973.07FU"
"OTU5088" "d:Fungi" "p:Basidiomycota" "c:Tremellomycetes" "o:Tremellales" "f:Bulleribasidiaceae" "g:Vishniacozyma" "UNKNOWN"
"OTU5026" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Polyporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU5611" "d:Fungi" "p:Ascomycota" "c:Taphrinomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU317" "d:Fungi" "p:Basidiomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU20" "d:Fungi" "p:Basidiomycota" "c:Malasseziomycetes" "o:Malasseziales" "f:Malasseziaceae" "g:Malassezia" "s:Malassezia_restricta_SH176395.07FU"
"OTU2624" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Hypocreales" "f:Cordycipitaceae" "g:Beauveria" "s:Beauveria_bassiana_SH421220.07FU"
"OTU6231" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU668" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Didymosphaeriaceae" "g:Spegazzinia" "UNKNOWN"
"OTU1524" "d:Fungi" "p:Basidiomycota" "c:Tremellomycetes" "o:Cystofilobasidiales" "f:Mrakiaceae" "g:Udeniomyces" "s:Udeniomyces_puniceus_SH192067.07FU"
"OTU600" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU914" "d:Fungi" "p:Ascomycota" "c:Taphrinomycetes" "o:Taphrinales" "f:Taphrinaceae" "g:Taphrina" "s:Taphrina_tormentillae_SH200748.07FU"
"OTU6128" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU361" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "g:Alternaria" "s:Alternaria_longissima_SH192117.07FU"
"OTU835" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Hymenochaetales" "f:Hymenochaetales_fam_Incertae_sedis" "g:Trichaptum" "s:Trichaptum_biforme_SH178781.07FU"
"OTU596" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4460" "d:Fungi" "p:Ascomycota" "c:Leotiomycetes" "o:Helotiales" "f:Helotiaceae" "g:Collophora" "UNKNOWN"
"OTU641" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "f:Aspergillaceae" "g:Aspergillus" "UNKNOWN"
"OTU286" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Capnodiales" "f:Cladosporiaceae" "g:Toxicocladosporium" "s:Toxicocladosporium_pseudoveloxum_SH111102.07FU"
"OTU6841" "d:Fungi" "p:Basidiomycota" "c:Microbotryomycetes" "o:Sporidiobolales" "f:Sporidiobolaceae" "g:Sporobolomyces" "s:Sporobolomyces_symmetricus_SH205939.07FU"
"OTU52" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU59" "d:Fungi" "p:Ascomycota" "c:Saccharomycetes" "o:Saccharomycetales" "f:Debaryomycetaceae" "g:Debaryomyces" "s:Debaryomyces_prosopidis_SH190089.07FU"
"OTU3208" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "g:Curvularia" "UNKNOWN"
"OTU282" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporales_fam_Incertae_sedis" "g:Latorua" "s:Latorua_caligans_SH212864.07FU"
