"KMD42" "KMD43" "KMD44" "CRR1" "CRR2" "CSR1" "CSR2" "SRR1" "SRR2" "SSR1" "SSR2" "CRA1" "CRA1stl" "CRA1t0" "CRA2" "CRA2stl" "CRA2t0" "CRA3" "CRA3stl" "CRA3t0" "CRA4" "CRA5" "CRA6" "CRA7" "CRA8" "CRR3" "CRR4" "CRR5" "CRR6" "CRR7" "CRR8" "CSA1stl" "CSA1" "CSA2stl" "CSA2" "CSA3stl" "CSA3" "CSA4" "CSA5" "CSA6" "CSA7" "CSA8" "CSR3" "CSR4" "CSR5" "CSR6" "CSR7" "CSR8" "NS010416" "NS011516" "NS011716" "NS020116" "NS020316" "NS021916" "NS081015" "NS081415" "NS081515" "NS081715" "NS081815" "NS082015" "NS082315" "NS082915" "NS090215" "NS090515" "NS090815" "NS090915" "NS100415" "NS100915" "NS101615" "NS102115" "NS102915" "NS110115" "NS110615" "NS111015" "NS111915" "NS112115" "NS121515" "NS122215" "SRA1" "SRA1stl" "SRA1t0" "SRA2" "SRA2stl" "SRA2t0" "SRA3" "SRA3stl" "SRA3t0" "SRA4" "SRA5" "SRA6" "SRA7" "SRA8" "SRR3" "SRR4" "SRR5" "SRR6" "SRR7" "SRR8" "SSA1" "SSA1stl" "SSA2" "SSA2stl" "SSA3" "SSA3stl" "SSA4" "SSA5" "SSA6" "SSA7" "SSA8" "SSR3" "SSR4" "SSR5" "SSR6" "SSR7" "SSR8"
"OTU18" 2122 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 155 16 35 86 0 0 0 0 0 118 0 0 0 0 0 0 0 0 15 0 0 0 0 0 746 485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU6550" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU46" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 233 19 1 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 148 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU70" 0 0 5218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 7 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU5141" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU5679" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU1" 3370 2 141 3 1 2 0 4 3 1 1 2 4 18 0 1511 0 0 1 65 1 3 0 1 0 0 1 9 1 1 2 0 1 0 1 1 0 0 1 0 0 1 1 4 4 1 0 0 403 1000 293 1474 1517 700 1318 10412 5712 4325 2 800 3989 5127 0 4 872 3757 815 4303 1247 1975 154 912 825 4475 774 1860 170 175 4 6 0 0 3 136 0 0 37 1 2 3 0 0 1 2 4 0 1 0 5 0 3 2 0 0 1 4 1 0 0 0 28 0 0 0 0
"OTU144" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 159 63 377 177 248 222 0 112 0 0 0 111 0 146 0 0 0 0 0 123 267 654 29 72 322 1242 616 69 426 1172 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU643" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU56" 0 0 0 2 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 12 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 15 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
